graph_id,sheet_id,status,reason,n_rooms,n_doors,integrity_passed
APT_FP_261561f8_17446927_u1,APT_FP_261561f8_17446927,ok,,3,2,True
APT_FP_261561f8_17446927_u2,APT_FP_261561f8_17446927,ok,,3,2,True
APT_FP_261561f8_17446927_u3,APT_FP_261561f8_17446927,ok,,3,2,True
APT_FP_6ed363c5_17446927_u0,APT_FP_6ed363c5_17446927,ok,,8,6,True
APT_FP_6ed363c5_17446927_u1,APT_FP_6ed363c5_17446927,ok,,13,10,True
APT_FP_6ed363c5_17446927_u2,APT_FP_6ed363c5_17446927,ok,,3,2,True
APT_FP_6ed363c5_17446927_u3,APT_FP_6ed363c5_17446927,ok,,3,2,True
APT_FP_f9e98192_17447720_u0,APT_FP_f9e98192_17447720,ok,,5,4,True
APT_FP_f9e98192_17447720_u1,APT_FP_f9e98192_17447720,ok,,5,4,True
APT_FP_b4fe3511_17446927_u0,APT_FP_b4fe3511_17446927,ok,,4,3,True
APT_FP_b4fe3511_17446927_u1,APT_FP_b4fe3511_17446927,ok,,8,6,True
APT_FP_b4fe3511_17446927_u2,APT_FP_b4fe3511_17446927,ok,,3,2,True
APT_FP_b4fe3511_17446927_u3,APT_FP_b4fe3511_17446927,ok,,3,2,True
APT_FP_9511ac3b_17434935_u0,APT_FP_9511ac3b_17434935,ok,,3,2,True
APT_FP_9511ac3b_17434935_u1,APT_FP_9511ac3b_17434935,ok,,3,2,True
APT_FP_9511ac3b_17434935_u2,APT_FP_9511ac3b_17434935,ok,,3,2,True
APT_FP_9511ac3b_17434935_u3,APT_FP_9511ac3b_17434935,ok,,3,2,True
APT_FP_6fd571e1_17446927_u0,APT_FP_6fd571e1_17446927,ok,,4,3,True
APT_FP_6fd571e1_17446927_u1,APT_FP_6fd571e1_17446927,ok,,4,3,True
APT_FP_81b67c1b_17438443_u0,APT_FP_81b67c1b_17438443,ok,,13,8,True
APT_FP_81b67c1b_17438443_u1,APT_FP_81b67c1b_17438443,ok,,15,10,True
APT_FP_29a7daa1_17446927_u0,APT_FP_29a7daa1_17446927,ok,,4,3,True
APT_FP_29a7daa1_17446927_u1,APT_FP_29a7daa1_17446927,ok,,20,12,True
