graph_id,sheet_id,reason,n_rooms,program
,APT_FP_9e255b70_17441963,no_unit_with_entrance,56,
APT_FP_f81f810a_17446927_u2,APT_FP_f81f810a_17446927,missing_essential:주방,12,발코니:1;거실:1;기타:2;화장실:2;침실:3;현관:1;실외기실:1;드레스룸:1
APT_FP_67dc5bb7_17446927_u2,APT_FP_67dc5bb7_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
APT_FP_67dc5bb7_17446927_u3,APT_FP_67dc5bb7_17446927,missing_essential:주방,10,드레스룸:1;실외기실:1;거실:1;화장실:2;침실:3;현관:1;발코니:1
APT_FP_2191e87f_17438514_u0,APT_FP_2191e87f_17438514,missing_essential:주방,11,화장실:3;드레스룸:2;침실:3;거실:1;실외기실:1;현관:1
APT_FP_3a89faec_17441963_u0,APT_FP_3a89faec_17441963,missing_essential:주방,7,거실:1;침실:3;발코니:1;화장실:1;현관:1
APT_FP_0055ba97_17446927_u1,APT_FP_0055ba97_17446927,missing_essential:주방,18,거실:1;발코니:5;화장실:3;현관:1;기타:1;드레스룸:2;침실:4;실외기실:1
APT_FP_878eabfd_17446927_u1,APT_FP_878eabfd_17446927,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_63ce573c_17446927_u0,APT_FP_63ce573c_17446927,missing_essential:주방,10,드레스룸:1;현관:1;실외기실:1;발코니:1;거실:1;침실:3;화장실:2
APT_FP_569ee359_17446927_u0,APT_FP_569ee359_17446927,missing_essential:주방,10,발코니:1;화장실:2;침실:3;실외기실:1;드레스룸:1;거실:1;현관:1
,APT_FP_999835c9_17441963,no_unit_with_entrance,17,
APT_FP_56c58f72_17446927_u2,APT_FP_56c58f72_17446927,missing_essential:주방,10,드레스룸:1;침실:3;거실:1;실외기실:1;화장실:2;현관:1;발코니:1
,APT_FP_4ba00dd3_17441963,no_unit_with_entrance,21,
APT_FP_1026b610_17435728_u0,APT_FP_1026b610_17435728,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_f18ba1c2_17446927_u0,APT_FP_f18ba1c2_17446927,"missing_essential:거실,침실,주방,화장실",2,현관:1;기타:1
APT_FP_9db4d189_17446927_u3,APT_FP_9db4d189_17446927,missing_essential:주방,12,기타:2;발코니:1;화장실:2;드레스룸:1;침실:3;현관:1;실외기실:1;거실:1
,APT_FP_e2741789_17446927,no_unit_with_entrance,19,
APT_FP_a8d7f216_17446927_u0,APT_FP_a8d7f216_17446927,missing_essential:주방,10,화장실:2;현관:1;침실:3;발코니:1;거실:1;드레스룸:1;실외기실:1
APT_FP_53c14c7d_17446927_u0,APT_FP_53c14c7d_17446927,"missing_essential:거실,침실,주방,화장실",3,기타:2;현관:1
,APT_FP_f29c5b17_17446927,no_unit_with_entrance,18,
APT_FP_326b3f70_17446927_u2,APT_FP_326b3f70_17446927,missing_essential:주방,12,기타:2;침실:3;현관:1;실외기실:1;거실:1;발코니:1;화장실:2;드레스룸:1
APT_FP_291a50f2_17446927_u0,APT_FP_291a50f2_17446927,"missing_essential:거실,주방",5,실외기실:1;화장실:1;현관:1;기타:1;침실:1
APT_FP_a86a711d_17446927_u2,APT_FP_a86a711d_17446927,missing_essential:주방,12,드레스룸:1;발코니:1;기타:2;침실:3;화장실:2;현관:1;거실:1;실외기실:1
,APT_FP_b3f39ab1_17441963,no_unit_with_entrance,22,
APT_FP_b589e1d7_17436388_u0,APT_FP_b589e1d7_17436388,missing_essential:주방,12,침실:3;기타:2;현관:1;화장실:2;드레스룸:1;실외기실:1;거실:1;발코니:1
APT_FP_7e33ba67_17434935_u0,APT_FP_7e33ba67_17434935,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_fcb4cbbe_17446927_u0,APT_FP_fcb4cbbe_17446927,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
,APT_FP_e3fccd89_17434935,no_unit_with_entrance,18,
APT_FP_53e3fa42_17434935_u0,APT_FP_53e3fa42_17434935,"missing_essential:거실,침실,주방,화장실",2,기타:1;현관:1
APT_FP_0ad541d1_17438443_u0,APT_FP_0ad541d1_17438443,missing_essential:주방,11,현관:1;드레스룸:2;거실:1;화장실:2;침실:3;실외기실:1;기타:1
