sheet_id,confidence,scale_mm_per_px,bedroom_med_m2
APT_FP_8f9e96e9_17441963,none,,
APT_FP_900d63e2_17446927,low,4.9158,0.9
APT_FP_90a46ab1_17446927,low,4.5843,0.8
APT_FP_90d8fabb_17438514,low,8.465,5.8
APT_FP_90eecba2_17446927,none,,
APT_FP_919f6e50_17438514,low,8.4644,5.8
APT_FP_91b9c166_17447720,none,,
APT_FP_921215ba_17446927,low,4.5331,0.7
APT_FP_9280d2db_17434935,none,,
APT_FP_92be7140_17446927,none,,
APT_FP_92d0f67e_17446927,low,2.4158,0.6
APT_FP_93183968_17446927,none,,
APT_FP_9362aeb3_17447720,none,,
APT_FP_937a2016_17446927,low,4.2099,0.7
APT_FP_93be486e_17438443,low,10.3637,5.8
APT_FP_93e283f9_17434935,none,,
APT_FP_946e9fcb_17446927,low,4.2139,0.7
APT_FP_94892895_17434935,none,,
APT_FP_94ec45c0_17446927,low,2.4534,0.3
APT_FP_94f63c4c_17438514,none,,
APT_FP_9515435f_17438514,low,23.2258,54.7
APT_FP_9530e6d4_17434935,low,3.6525,1.7
APT_FP_96076df1_17438514,none,,
APT_FP_97203ffc_17434935,none,,
APT_FP_97808394_17446927,low,6.9879,3.5
APT_FP_97a01de9_17446927,low,1.9718,0.3
APT_FP_97f244c8_17446927,low,10.3852,6.0
APT_FP_982011f8_17446927,none,,
APT_FP_9897c7eb_17446927,none,,
APT_FP_989a1519_17447720,none,,
APT_FP_98cfb159_17447720,low,3.4966,1.0
APT_FP_98fe1531_17434935,none,,
APT_FP_99360955_17446927,low,5.657,1.3
APT_FP_9970de7f_17446941,low,4.717,1.6
APT_FP_998e50a3_17447720,low,9.8838,5.7
APT_FP_9aa46b1a_17434935,low,1.4569,0.3
APT_FP_9b8dc33a_17441963,none,,
APT_FP_9b91a2b4_17436388,low,10.1606,18.7
APT_FP_9be001f2_17441963,none,,
APT_FP_9c0a76db_17441963,none,,
APT_FP_9c2c0f23_17446927,low,4.9158,1.0
APT_FP_9c4ba354_17438514,none,,
APT_FP_9c509a1d_670699,none,,
APT_FP_9cc1599c_17446927,low,2.7662,0.4
APT_FP_9d76f2ed_17446927,low,3.3788,0.5
APT_FP_9eb90762_17447720,low,6.7784,2.2
APT_FP_9ec62d3d_17446927,none,,
APT_FP_9ed1e78a_17434935,low,4.386,4.8
APT_FP_9f1bade6_17447720,none,,
APT_FP_9f2a2e60_17446927,none,,
APT_FP_9f2d8d44_17447720,low,2.3425,0.4
APT_FP_a044140a_17447720,low,3.6167,0.8
APT_FP_a0740417_17447720,low,9.8795,6.0
APT_FP_a0cf0e11_17438514,none,,
APT_FP_a129c662_17441963,none,,
APT_FP_a1b8e31e_17434935,none,,
APT_FP_a218e7a4_17441963,none,,
APT_FP_a3058642_17438514,none,,
APT_FP_a3739f37_17441963,low,7.3439,6.5
APT_FP_a446fc64_17446927,none,,
APT_FP_a47e0bb6_17447720,none,,
APT_FP_a4d2970f_17446927,low,1.1814,0.1
APT_FP_a55001ef_17447720,low,3.5992,1.2
APT_FP_a57af4c0_17438514,low,8.4783,5.8
APT_FP_a5bafbcb_17438514,none,,
APT_FP_a5cc60d4_17447720,none,,
APT_FP_a65d959f_17446927,none,,
APT_FP_a6d0b6bc_17441963,low,10.4538,9.9
APT_FP_a7527172_17446927,low,20.028,89.9
APT_FP_a77fbb3e_17446927,none,,
APT_FP_a78922db_17446927,none,,
APT_FP_a78e9117_17447720,low,12.138,5.5
APT_FP_a7f65963_17434935,none,,
APT_FP_a8474e55_17446927,none,,
APT_FP_a8adbcc9_17434935,none,,
APT_FP_a9625a83_17438514,low,18.2208,46.1
APT_FP_aaabac33_17446927,low,4.2204,1.1
APT_FP_aae27212_17446927,none,,
APT_FP_aaf28318_17446927,low,4.7643,0.8
APT_FP_ab044db7_17441963,none,,
APT_FP_ab81d650_17447720,none,,
